Wavelength (nm);Optical Density;% Transmission
721;6.057913;8.75159E-05
722;6.017328;9.60886E-05
723;5.996171;0.000100886
724;5.996401;0.000100832
725;6.004727;9.89175E-05
726;6.013516;9.69358E-05
727;5.927966;0.000118041
728;6.005004;9.88544E-05
729;5.938858;0.000115118
730;5.931864;0.000116987
731;5.969053;0.000107386
732;5.932064;0.000116933
733;5.884966;0.000130327
734;5.898214;0.000126411
735;5.918666;0.000120596
736;5.911721;0.00012254
737;5.898534;0.000126318
738;5.9437;0.000113841
739;5.951223;0.000111886
740;5.943756;0.000113827
741;5.908783;0.000123372
742;5.958743;0.000109966
743;5.951667;0.000111772
744;5.944387;0.000113661
745;5.9866;0.000103134
746;5.923104;0.00011937
747;5.923079;0.000119377
748;5.955823;0.000110707
749;5.982847;0.000104029
750;6.033766;9.25197E-05
751;6.076094;8.39278E-05
752;5.931014;0.000117216
753;5.983625;0.000103842
754;5.952977;0.000111435
755;5.999975;0.000100006
756;6.008677;9.80219E-05
757;6.000183;9.99579E-05
758;5.921282;0.000119872
759;5.980135;0.00010468
760;5.92834;0.00011794
761;5.972669;0.000106495
762;5.891664;0.000128332
763;5.9251;0.000118823
764;5.876128;0.000133006
765;6.040263;9.11459E-05
766;6.087913;8.16746E-05
767;6.005805;9.86722E-05
768;6.001633;9.96247E-05
769;6.059171;8.72628E-05
770;6.148107;7.11038E-05
771;5.981644;0.000104317
772;5.982035;0.000104223
773;6.050507;8.90211E-05
774;6.078957;8.33764E-05
775;5.970627;0.000106997
776;5.9064;0.000124051
777;5.95205;0.000111673
778;6.050769;8.89674E-05
779;6.050645;8.89928E-05
780;6.03741;9.17466E-05
781;5.979228;0.000104899
782;6.065406;8.60189E-05
783;5.995131;0.000101127
784;5.978891;0.000104981
785;5.938694;0.000115161
786;6.003739;9.91428E-05
787;6.056331;8.78353E-05
788;6.012378;9.71901E-05
789;6.004084;9.9064E-05
790;6.091001;8.10959E-05
791;5.984199;0.000103705
792;5.901597;0.00012543
793;5.93556;0.000115995
794;5.879392;0.00013201
795;5.89914;0.000126142
796;5.962041;0.000109134
797;6.013294;9.69853E-05
798;5.977051;0.000105426
799;6.009092;9.79283E-05
800;5.895997;0.000127058
801;5.906045;0.000124152
802;5.989274;0.000102501
803;5.993081;0.000101606
804;6.062889;8.65189E-05
805;6.152018;7.04664E-05
806;6.001874;9.95694E-05
807;5.970408;0.000107051
808;5.966171;0.000108101
809;5.940183;0.000114767
810;5.959144;0.000109864
811;6.050073;8.91101E-05
812;5.994264;0.00010133
813;6.068632;8.53823E-05
814;5.894506;0.000127495
815;5.994432;0.00010129
816;6.083401;8.25276E-05
817;6.088184;8.16236E-05
818;6.088154;8.16293E-05
819;5.88793;0.00012944
820;5.917664;0.000120875
821;5.927204;0.000118249
822;5.930429;0.000117374
823;6.082875;8.26276E-05
824;5.856769;0.000139069
825;5.916062;0.000121322
826;5.947854;0.000112758
827;5.895942;0.000127074
828;6.026459;9.40895E-05
829;5.827789;0.000148666
830;5.795938;0.000159979
831;6.106939;7.81738E-05
832;5.889011;0.000129119
833;5.928701;0.000117842
834;5.928077;0.000118011
835;5.870071;0.000134874
836;5.906744;0.000123953
837;5.866065;0.000136124
838;5.7189;0.000191029
839;5.896049;0.000127043
840;5.908944;0.000123326
841;5.961667;0.000109228
842;5.829224;0.000148175
843;5.80965;0.000155007
844;5.918702;0.000120586
845;5.857769857;0.000138749
846;5.851143857;0.000140882
847;5.845940429;0.00014258
848;5.848045286;0.000141891
849;5.860087429;0.000138011
850;5.853692429;0.000140058
851;5.837766286;0.000145289
852;5.794729571;0.000160424
853;5.847300286;0.000142135
854;5.843793571;0.000143287
855;5.804897;0.000156712
856;5.832045571;0.000147216
857;5.846383286;0.000142435
858;5.776245571;0.0001674
859;5.830472286;0.00014775
860;5.777078167;0.000167079
861;5.832430833;0.000147085
862;5.866685;0.00013593
863;5.8397382;0.000144631
864;5.8278785;0.000148635
865;6.02019875;9.54556E-05
866;6.026931667;9.39871E-05
867;6.0024335;9.94412E-05
868;5.976313;0.000105606
869;5.84046125;0.000144391
870;5.787281667;0.000163199
871;5.84046125;0.000144391
872;5.787281667;0.000163199
873;5.7570595;0.000174961
874;5.699766333;0.000199634
875;5.77482475;0.000167948
876;5.888797667;0.000129182
877;5.7705965;0.000169591
878;5.594647;0.000254304
879;5.6757176;0.000211
880;5.67804875;0.00020987
881;5.757774;0.000174673
882;5.6972175;0.000200809
883;5.686097;0.000206017
884;5.6599604;0.000218796
885;5.8518084;0.000140667
886;5.8147605;0.000153193
887;5.7732174;0.000168571
888;5.697353;0.000200746
889;5.7198948;0.000190592
890;5.6501394;0.0002238
891;5.7930774;0.000161036
892;5.6409022;0.000228611
893;5.700751833;0.000199181
894;5.661442833;0.000218051
895;5.709808143;0.000195071
896;5.624155143;0.000237599
897;5.799569857;0.000158646
898;5.713431;0.00019345
899;5.785635857;0.000163819
900;5.674511429;0.000211587
901;5.715263;0.000192636
902;5.617511714;0.000241262
903;5.696400143;0.000201187
904;5.549354714;0.000282257
905;5.635493571;0.000231476
906;5.566630429;0.00027125
907;5.677754857;0.000210012
908;5.681305333;0.000208303
909;5.7953485;0.000160196
910;5.818745833;0.000151794
911;5.903508667;0.00012488
912;5.897863833;0.000126513
913;5.978204167;0.000105147
914;5.940678333;0.000114636
915;5.949152857;0.000112421
916;5.940678333;0.000114636
917;5.956829333;0.000110451
918;5.915149667;0.000121577
919;5.9207945;0.000120007
920;5.820539667;0.000151168
921;5.8580655;0.000138655
922;5.8054405;0.000156516
923;5.8054405;0.000156516
924;5.731936833;0.00018538
925;5.7736165;0.000168416
926;5.7546785;0.000175923
927;5.854933333;0.000139658
928;5.799656167;0.000158615
929;5.852281167;0.000140514
930;5.850271143;0.000141166
931;5.881308571;0.000131429
932;5.775534;0.000167674
933;5.795134857;0.000160275
934;5.757935571;0.000174608
935;5.805316;0.000156561
936;5.744613;0.000180047
937;5.767725714;0.000170716
938;5.713170286;0.000193566
939;5.818944857;0.000151724
940;5.741177571;0.000181477
941;5.746278286;0.000179358
942;5.758209143;0.000174498
943;5.818912143;0.000151736
944;5.738669286;0.000182529
945;5.760524571;0.00017357
946;5.723552286;0.000188994
947;5.755830571;0.000175456
948;5.706167143;0.000196713
949;5.694236286;0.000202192
950;5.665350143;0.000216098
951;5.707638571;0.000196048
952;5.711791429;0.000194182
953;5.791486714;0.000161627
954;5.800931857;0.00015815
955;5.945119429;0.00011347
956;5.835309429;0.000146114
957;5.879497714;0.000131978
958;5.919705429;0.000120308
959;5.951313286;0.000111863
960;5.810782857;0.000154603
961;5.809959;0.000154896
962;5.677652714;0.000210062
963;5.787462714;0.000163131
964;5.704042286;0.000197678
965;5.696496571;0.000201142
966;5.636445286;0.00023097
967;5.653425857;0.000222113
968;5.592060857;0.000255823
969;5.625336;0.000236954
970;5.633462429;0.000232561
971;5.701841;0.000198682
972;5.637135571;0.000230603
973;5.642243143;0.000227907
974;5.627222429;0.000235927
975;5.659645143;0.000218955
976;5.625996429;0.000236594
977;5.61787;0.000241063
978;5.600951857;0.000250639
979;5.603694143;0.000249061
980;5.613361714;0.000243578
981;5.683638429;0.000207187
982;5.691759714;0.000203348
983;5.807933571;0.00015562
984;5.789890571;0.000162222
985;5.806548429;0.000156117
986;5.851157286;0.000140878
987;5.854357286;0.000139844
988;5.849008;0.000141577
989;5.903328429;0.000124931
990;5.923070857;0.000119379
991;5.892359429;0.000128127
992;5.817374857;0.000152274
993;5.815867;0.000152803
994;5.840100571;0.000144511
995;5.794487714;0.000160514
996;5.716023571;0.000192299
997;5.583634857;0.000260835
998;5.595616429;0.000253737
999;5.638752;0.000229746
1000;5.578050286;0.00026421
1001;5.578417714;0.000263987
1002;5.605156;0.000248224
1003;5.674172571;0.000211752
1004;5.685303143;0.000206394
1005;5.648905;0.000224437
1006;5.647982571;0.000224914
1007;5.669391;0.000214096
1008;5.691585714;0.00020343
1009;5.692180571;0.000203151
1010;5.637907;0.000230193
1011;5.655285;0.000221164
1012;5.688774857;0.000204751
1013;5.721546286;0.000189869
1014;5.791618;0.000161578
1015;5.723042857;0.000189216
1016;5.712528714;0.000193852
1017;5.776249857;0.000167398
1018;5.814468;0.000153296
1019;5.792002857;0.000161435
1020;5.704215286;0.000197599
1021;5.654069429;0.000221784
1022;5.720289429;0.000190419
1023;5.727824286;0.000187144
1024;5.810042143;0.000154867
1025;5.763405286;0.000172423
1026;5.775952143;0.000167513
1027;5.817407429;0.000152262
1028;5.820234429;0.000151274
1029;5.784337286;0.00016431
1030;5.827775714;0.00014867
1031;5.725089714;0.000188326
1032;5.734113571;0.000184453
1033;5.736009143;0.00018365
1034;5.790644714;0.00016194
1035;5.773196286;0.000168579
1036;5.831174;0.000147512
1037;5.753472143;0.000176412
1038;5.702732571;0.000198275
1039;5.680671;0.000208607
1040;5.690253714;0.000204055
1041;5.624667429;0.000237319
1042;5.682810857;0.000207582
1043;5.659371714;0.000219093
1044;5.705253143;0.000197127
1045;5.692530571;0.000202988
1046;5.678124571;0.000209834
1047;5.674651429;0.000211519
1048;5.731934429;0.000185381
1049;5.761814286;0.000173056
1050;5.779660143;0.000166089
1051;5.756099429;0.000175348
1052;5.857825714;0.000138731
1053;5.887054429;0.000129702
1054;5.922675429;0.000119488
1055;5.870154857;0.000134848
1056;5.791383286;0.000161665
1057;5.785802143;0.000163756
1058;5.820411286;0.000151213
1059;5.733393714;0.000184759
1060;5.802940429;0.00015742
1061;5.748351429;0.000178504
1062;5.735703;0.000183779
1063;5.723087571;0.000189196
1064;5.738722143;0.000182506
1065;5.709890571;0.000195034
1066;5.779112143;0.000166298
1067;5.710386571;0.000194811
1068;5.732692;0.000185058
1069;5.725028714;0.000188352
1070;5.753629;0.000176348
1071;5.668121571;0.000214723
1072;5.710801857;0.000194625
1073;5.666895286;0.00021533
1074;5.710926;0.000194569
1075;5.672138143;0.000212746
1076;5.704721714;0.000197369
1077;5.647854143;0.000224981
1078;5.685195714;0.000206445
1079;5.631265286;0.000233741
1080;5.735627571;0.000183811
1081;5.712293571;0.000193957
1082;5.773927;0.000168296
1083;5.741766143;0.000181232
1084;5.766313571;0.000171272
1085;5.733433571;0.000184742
1086;5.782399714;0.000165044
1087;5.645446;0.000226232
1088;5.668961286;0.000214308
1089;5.641793286;0.000228143
1090;5.714202857;0.000193107
1091;5.693037714;0.000202751
1092;5.788930143;0.000162581
1093;5.744190143;0.000180223
1094;5.786500286;0.000163493
1095;5.689782571;0.000204276
1096;5.732361857;0.000185199
1097;5.661508;0.000218018
1098;5.747900143;0.00017869
1099;5.644648857;0.000226648
1100;5.710017143;0.000194977
1101;5.644272286;0.000226844
1102;5.720630714;0.00019027
1103;5.646609;0.000225627
1104;5.722394429;0.000189498
1105;5.641006143;0.000228557
1106;5.808726857;0.000155336
1107;5.717444571;0.000191671
1108;5.817377286;0.000152273
1109;5.797764571;0.000159307
1110;5.851769286;0.000140679
1111;5.747437571;0.00017888
1112;5.778685143;0.000166462
1113;5.594184571;0.000254575
1114;5.711689;0.000194228
1115;5.643721143;0.000227132
1116;5.683511857;0.000207247
1117;5.626888429;0.000236108
1118;5.726288571;0.000187807
1119;5.688466857;0.000204896
1120;5.817302714;0.000152299
1121;5.701067143;0.000199037
1122;5.769035;0.000170202
1123;5.688770286;0.000204753
1124;5.733622143;0.000184662
1125;5.670464;0.000213568
1126;5.730005571;0.000186206
1127;5.632034857;0.000233327
1128;5.725725286;0.000188051
1129;5.638408286;0.000229928
1130;5.718673;0.000191129
1131;5.653906571;0.000221867
1132;5.698781714;0.000200087
1133;5.613035143;0.000243761
1134;5.661989571;0.000217776
1135;5.577904429;0.000264299
1136;5.665221429;0.000216162
1137;5.567451857;0.000270737
1138;5.642488571;0.000227778
1139;5.556399;0.000277716
1140;5.617302;0.000241378
1141;5.533560571;0.000292711
1142;5.613968714;0.000243238
1143;5.508860429;0.000309841
1144;5.60663;0.000247383
1145;5.571983429;0.000267927
1146;5.606622286;0.000247387
1147;5.560588143;0.00027505
1148;5.680122857;0.000208871
1149;5.592643714;0.00025548
1150;5.659231143;0.000219164
1151;5.554918571;0.000278664
1152;5.611083429;0.000244859
1153;5.575140857;0.000265986
1154;5.633008;0.000232805
1155;5.504232;0.000313161
1156;5.591711143;0.000256029
1157;5.513954143;0.000306229
1158;5.576371143;0.000265234
1159;5.502606;0.000314336
1160;5.608282286;0.000246444
1161;5.643844857;0.000227068
1162;5.744338857;0.000180161
1163;5.660547286;0.000218501
1164;5.751243286;0.00017732
1165;5.704494857;0.000197472
1166;5.77826;0.000166625
1167;5.692788429;0.000202867
1168;5.698657286;0.000200144
1169;5.603470857;0.000249189
1170;5.749047429;0.000178218
1171;5.695003429;0.000201835
1172;5.734138429;0.000184443
1173;5.622023286;0.000238768
1174;5.707494857;0.000196112
1175;5.600429286;0.00025094
1176;5.704033;0.000197682
1177;5.52952;0.000295447
1178;5.609145857;0.000245954
1179;5.555303;0.000278418
1180;5.667418143;0.000215071
1181;5.566436571;0.000271371
1182;5.625191714;0.000237033
1183;5.556016714;0.000277961
1184;5.682106143;0.000207919
1185;5.682106143;0.000207919
1186;5.785458;0.000163886
1187;5.785458;0.000163886
1188;5.886439571;0.000129885
1189;5.821084286;0.000150979
1190;5.914333143;0.000121805
1191;5.828914714;0.000148281
1192;5.787811286;0.000163
1193;5.724647143;0.000188518
1194;5.746243143;0.000179373
1195;5.617680714;0.000241168
1196;5.685639857;0.000206234
1197;5.714661143;0.000192903
1198;5.617680714;0.000241168
1199;5.685639857;0.000206234
1200;5.714661143;0.000192903
